key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
OPENJPA-35,2006-08-28,2007-03-10,0.9.0,0.9.6,0.9.7,[0.9.0, 0.9.6, 0.9.6],
OPENJPA-42,2006-09-07,2006-09-10,0.9.0,0.9.6,0.9.6,[0.9.0],
OPENJPA-41,2006-09-07,2007-03-01,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-44,2006-09-11,2008-07-28,0.9.0,0.9.6,1.2.0,[0.9.0, 0.9.6, 0.9.7, 1.0.0, 1.0.1, 1.0.2, 1.1.0, 1.0.3],
OPENJPA-46,2006-09-18,2007-03-08,0.9.0,0.9.6,0.9.7,[0.9.0, 0.9.6],
OPENJPA-54,2006-09-19,2007-03-01,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-53,2006-09-19,2007-03-01,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-50,2006-09-19,2007-03-01,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-48,2006-09-19,2007-03-01,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-56,2006-09-20,2007-03-01,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-58,2006-09-23,2006-09-23,0.9.0,0.9.6,0.9.6,[0.9.0],
OPENJPA-59,2006-09-25,2006-09-26,0.9.0,0.9.6,0.9.6,[0.9.0],
OPENJPA-60,2006-09-27,2007-02-06,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-61,2006-09-28,2007-06-26,0.9.0,0.9.6,1.0.0,[0.9.0, 0.9.6, 0.9.7],
OPENJPA-62,2006-10-04,2007-03-01,0.9.6,0.9.6,0.9.7,[0.9.6],
OPENJPA-67,2006-10-24,2006-10-27,0.9.0,0.9.6,0.9.6,[0.9.0],
OPENJPA-68,2006-10-27,2006-10-27,0.9.0,0.9.6,0.9.6,[0.9.0],
OPENJPA-70,2006-10-30,2006-10-30,0.9.0,0.9.6,0.9.6,[0.9.0],
OPENJPA-73,2006-10-31,2006-11-06,0.9.0,0.9.6,0.9.6,[0.9.0],
OPENJPA-71,2006-10-31,2007-03-08,0.9.0,0.9.6,0.9.7,[0.9.0, 0.9.6, 0.9.6],
