Feature,SpearmanCorrelation
Release,-0.1720
LOC,0.1633
StmtAdded,0.1618
MaxChurn,0.1585
"#Branches",0.1493
"#Authors",0.1439
NestingDepth,0.1434
AvgChurn,0.1406
"#Revisions",0.1106
NSmells,0.1044
StmtDeleted,0.0835
"#Parameters",0.0276
NFix,0.0227
