id,releaseName,releaseDate,numOfCommits
1,4.0.0,2011-12-07,92
2,4.1.0,2012-06-13,111
3,4.1.1,2013-01-16,199
4,4.2.1,2013-03-27,23
5,4.2.2,2013-10-10,51
6,4.3.0,2014-02-02,33
7,4.2.3,2014-06-27,36
8,4.3.1,2015-05-24,73
9,4.3.2,2015-11-17,15
10,4.4.0,2016-05-16,46
11,4.5.0,2017-08-10,324
12,4.5.1,2017-09-10,58
13,4.6.0,2017-11-10,72
