Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
OPENJPA,6,NaiveBayes,None,None,None,0.054,0.293,0.821,0.074,0.092
OPENJPA,6,IBk,None,None,None,0.866,0.527,0.889,0.652,0.655
OPENJPA,6,RandomForest,BestFirst,None,None,0.760,0.103,0.796,0.180,0.182
OPENJPA,6,NaiveBayes,BestFirst,None,None,0.069,0.310,0.776,0.096,0.112
OPENJPA,6,IBk,BestFirst,None,None,0.750,0.098,0.789,0.171,0.173
OPENJPA,6,RandomForest,None,SMOTE,None,0.737,0.549,0.886,0.626,0.629
OPENJPA,6,NaiveBayes,None,SMOTE,None,0.054,0.440,0.834,0.078,0.096
OPENJPA,6,IBk,None,SMOTE,None,0.673,0.538,0.883,0.594,0.598
OPENJPA,6,RandomForest,None,None,SensitiveLearning,0.534,0.636,0.876,0.576,0.581
OPENJPA,6,NaiveBayes,None,None,SensitiveLearning,0.056,0.348,0.821,0.079,0.096
OPENJPA,6,IBk,None,None,SensitiveLearning,0.527,0.636,0.889,0.571,0.576
OPENJPA,7,RandomForest,None,None,None,0.884,0.589,0.917,0.705,0.707
OPENJPA,7,NaiveBayes,None,None,None,0.052,0.321,0.824,0.073,0.089
OPENJPA,7,IBk,None,None,None,0.832,0.589,0.916,0.687,0.690
OPENJPA,7,RandomForest,BestFirst,None,None,0.857,0.107,0.834,0.189,0.190
OPENJPA,7,NaiveBayes,BestFirst,None,None,0.067,0.315,0.799,0.095,0.110
OPENJPA,7,IBk,BestFirst,None,None,0.692,0.107,0.801,0.183,0.186
OPENJPA,7,RandomForest,None,SMOTE,None,0.599,0.667,0.918,0.627,0.631
OPENJPA,7,NaiveBayes,None,SMOTE,None,0.049,0.464,0.835,0.073,0.089
OPENJPA,7,IBk,None,SMOTE,None,0.539,0.661,0.924,0.589,0.594
OPENJPA,7,RandomForest,None,None,SensitiveLearning,0.547,0.690,0.920,0.606,0.611
OPENJPA,7,NaiveBayes,None,None,SensitiveLearning,0.050,0.357,0.824,0.072,0.088
OPENJPA,7,IBk,None,None,SensitiveLearning,0.535,0.690,0.916,0.598,0.603
OPENJPA,8,RandomForest,None,None,None,0.882,0.580,0.890,0.697,0.700
OPENJPA,8,NaiveBayes,None,None,None,0.065,0.376,0.835,0.095,0.111
OPENJPA,8,IBk,None,None,None,0.895,0.564,0.908,0.689,0.692
OPENJPA,8,RandomForest,BestFirst,None,None,0.810,0.094,0.814,0.166,0.168
OPENJPA,8,NaiveBayes,BestFirst,None,None,0.082,0.398,0.803,0.120,0.136
OPENJPA,8,IBk,BestFirst,None,None,0.850,0.094,0.797,0.167,0.169
OPENJPA,8,RandomForest,None,SMOTE,None,0.552,0.619,0.909,0.579,0.583
OPENJPA,8,NaiveBayes,None,SMOTE,None,0.060,0.530,0.848,0.090,0.108
OPENJPA,8,IBk,None,SMOTE,None,0.537,0.602,0.902,0.563,0.568
OPENJPA,8,RandomForest,None,None,SensitiveLearning,0.531,0.657,0.906,0.583,0.588
OPENJPA,8,NaiveBayes,None,None,SensitiveLearning,0.065,0.431,0.835,0.097,0.113
OPENJPA,8,IBk,None,None,SensitiveLearning,0.520,0.657,0.908,0.575,0.580
OPENJPA,9,RandomForest,None,None,None,0.790,0.348,0.787,0.480,0.483
OPENJPA,9,NaiveBayes,None,None,None,0.059,0.370,0.845,0.086,0.102
OPENJPA,9,IBk,None,None,None,0.670,0.342,0.789,0.449,0.453
OPENJPA,9,RandomForest,BestFirst,None,None,0.414,0.065,0.806,0.110,0.113
OPENJPA,9,NaiveBayes,BestFirst,None,None,0.067,0.359,0.819,0.097,0.113
OPENJPA,9,IBk,BestFirst,None,None,0.375,0.065,0.758,0.108,0.111
OPENJPA,9,RandomForest,None,SMOTE,None,0.518,0.386,0.785,0.437,0.442
OPENJPA,9,NaiveBayes,None,SMOTE,None,0.057,0.538,0.854,0.085,0.103
OPENJPA,9,IBk,None,SMOTE,None,0.361,0.380,0.785,0.364,0.370
