ID,Size,Predicted,Actual
105,0,0.001322,NO
106,0,0.001322,NO
107,0,0.001322,NO
108,0,0.001322,NO
109,0,0.001322,NO
110,0,0.001322,NO
111,0,0.001322,NO
112,0,0.001322,NO
113,0,0.001322,NO
114,0,0.001322,NO
115,0,0.001322,NO
116,0,0.001322,NO
117,0,0.001322,NO
118,0,0.001322,NO
119,0,0.001322,NO
120,0,0.001322,NO
121,0,0.001322,NO
122,0,0.001322,NO
123,0,0.001322,NO
124,0,0.001322,NO
125,0,0.001322,NO
126,0,0.001322,NO
127,0,0.001322,NO
128,0,0.001322,NO
129,0,0.001322,NO
130,0,0.001322,NO
131,0,0.001322,NO
132,0,0.001322,NO
133,0,0.001322,NO
134,0,0.001322,NO
135,0,0.001322,NO
136,0,0.001322,NO
137,0,0.001322,NO
138,0,0.001322,NO
139,0,0.001322,NO
140,0,0.001322,NO
141,0,0.001322,NO
142,0,0.001322,NO
143,0,0.001322,NO
144,0,0.001322,NO
145,0,0.001322,NO
146,0,0.001322,NO
147,0,0.001322,NO
148,0,0.001322,NO
149,0,0.001322,NO
150,0,0.001322,NO
151,1,0.010621,NO
152,1,0.001322,NO
153,1,0.010621,NO
154,1,0.001322,NO
155,1,0.010621,NO
156,1,0.001322,NO
157,1,0.010621,NO
158,1,0.001322,NO
159,1,0.010621,NO
160,1,0.001322,NO
161,1,0.010621,NO
162,1,0.001322,NO
163,1,0.010621,NO
164,1,0.001322,NO
165,1,0.010621,NO
166,1,0.001322,NO
167,1,0.010621,NO
168,1,0.001322,NO
169,1,0.010621,NO
170,1,0.001322,NO
171,1,0.010621,NO
172,1,0.001322,NO
173,1,0.010621,NO
174,1,0.001322,NO
175,1,0.010621,NO
176,1,0.001322,NO
177,1,0.010621,NO
178,1,0.001322,NO
179,1,0.010621,NO
180,1,0.001322,NO
181,1,0.010621,NO
182,1,0.001322,NO
183,1,0.010621,NO
184,1,0.001322,NO
185,1,0.010621,NO
186,3,0.014965,NO
187,1,0.010621,NO
188,1,0.001322,NO
189,1,0.010621,NO
190,3,0.014965,NO
191,1,0.010621,NO
192,1,0.001322,NO
193,3,0.026204,NO
194,17,0.093982,NO
195,1,0.010621,NO
196,1,0.001322,NO
197,1,0.010621,NO
198,3,0.014965,NO
199,1,0.010621,NO
200,1,0.001322,NO
201,1,0.001322,NO
202,1,0.010621,NO
203,1,0.001322,NO
204,1,0.010621,NO
205,3,0.014965,NO
206,1,0.010621,NO
207,1,0.001322,NO
208,1,0.010621,NO
209,3,0.014965,NO
210,1,0.001322,NO
211,1,0.010621,NO
212,1,0.001322,NO
213,1,0.010621,NO
214,1,0.001322,NO
215,1,0.010621,NO
216,3,0.014965,NO
217,1,0.001322,NO
218,1,0.010621,NO
219,5,0.014965,NO
220,4,0.014965,NO
221,7,0.026204,NO
222,12,0.010773,NO
223,11,0.075937,NO
224,7,0.026204,NO
225,7,0.014965,NO
226,1,0.001322,NO
227,13,0.018427,NO
228,12,0.018427,NO
