Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa
OPENJPA,6,NaiveBayes,None,SMOTE,None,0.057,0.484,0.846,0.084
OPENJPA,6,IBk,None,SMOTE,None,0.543,0.516,0.880,0.524
OPENJPA,6,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.870,0.000
OPENJPA,6,NaiveBayes,None,None,SensitiveLearning,0.058,0.261,0.834,0.078
OPENJPA,6,IBk,None,None,SensitiveLearning,0.881,0.402,0.910,0.549
OPENJPA,7,RandomForest,None,None,None,0.897,0.571,0.912,0.696
OPENJPA,7,NaiveBayes,None,None,None,0.052,0.298,0.835,0.073
OPENJPA,7,IBk,None,None,None,0.825,0.560,0.908,0.664
OPENJPA,7,RandomForest,BestFirst,None,None,0.889,0.048,0.829,0.089
OPENJPA,7,NaiveBayes,BestFirst,None,None,0.071,0.202,0.787,0.091
OPENJPA,7,IBk,BestFirst,None,None,0.800,0.048,0.813,0.089
OPENJPA,7,RandomForest,None,SMOTE,None,0.495,0.649,0.917,0.557
OPENJPA,7,NaiveBayes,None,SMOTE,None,0.050,0.470,0.846,0.073
OPENJPA,7,IBk,None,SMOTE,None,0.419,0.673,0.926,0.510
OPENJPA,7,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.886,0.000
OPENJPA,7,NaiveBayes,None,None,SensitiveLearning,0.056,0.280,0.835,0.078
OPENJPA,7,IBk,None,None,SensitiveLearning,0.874,0.452,0.925,0.593
OPENJPA,8,RandomForest,None,None,None,0.893,0.552,0.915,0.680
OPENJPA,8,NaiveBayes,None,None,None,0.065,0.359,0.848,0.094
OPENJPA,8,IBk,None,None,None,0.873,0.530,0.894,0.657
OPENJPA,8,RandomForest,BestFirst,None,None,0.636,0.039,0.779,0.072
OPENJPA,8,NaiveBayes,BestFirst,None,None,0.089,0.215,0.791,0.113
OPENJPA,8,IBk,BestFirst,None,None,0.667,0.033,0.765,0.062
OPENJPA,8,RandomForest,None,SMOTE,None,0.515,0.575,0.910,0.538
OPENJPA,8,NaiveBayes,None,SMOTE,None,0.059,0.552,0.859,0.089
OPENJPA,8,IBk,None,SMOTE,None,0.471,0.580,0.894,0.514
OPENJPA,8,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.886,0.000
OPENJPA,8,NaiveBayes,None,None,SensitiveLearning,0.073,0.348,0.848,0.105
OPENJPA,8,IBk,None,None,SensitiveLearning,0.889,0.442,0.894,0.587
OPENJPA,9,RandomForest,None,None,None,0.836,0.332,0.785,0.472
OPENJPA,9,NaiveBayes,None,None,None,0.063,0.370,0.850,0.092
OPENJPA,9,IBk,None,None,None,0.682,0.326,0.785,0.437
OPENJPA,9,RandomForest,BestFirst,None,None,0.650,0.071,0.784,0.126
OPENJPA,9,NaiveBayes,BestFirst,None,None,0.088,0.283,0.845,0.120
OPENJPA,9,IBk,BestFirst,None,None,0.636,0.076,0.752,0.134
OPENJPA,9,RandomForest,None,SMOTE,None,0.473,0.375,0.791,0.413
OPENJPA,9,NaiveBayes,None,SMOTE,None,0.055,0.527,0.858,0.082
OPENJPA,9,IBk,None,SMOTE,None,0.300,0.408,0.793,0.338
OPENJPA,9,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.749,0.000
OPENJPA,9,NaiveBayes,None,None,SensitiveLearning,0.064,0.326,0.850,0.092
OPENJPA,9,IBk,None,None,SensitiveLearning,0.685,0.272,0.785,0.385
OPENJPA,10,RandomForest,None,None,None,0.864,0.475,0.945,0.610
OPENJPA,10,NaiveBayes,None,None,None,0.074,0.395,0.862,0.108
OPENJPA,10,IBk,None,None,None,0.754,0.460,0.910,0.568
OPENJPA,10,RandomForest,BestFirst,None,None,0.737,0.070,0.824,0.126
OPENJPA,10,NaiveBayes,BestFirst,None,None,0.096,0.255,0.851,0.125
OPENJPA,10,IBk,BestFirst,None,None,0.609,0.070,0.779,0.124
OPENJPA,10,RandomForest,None,SMOTE,None,0.471,0.615,0.939,0.528
OPENJPA,10,NaiveBayes,None,SMOTE,None,0.063,0.580,0.875,0.095
OPENJPA,10,IBk,None,SMOTE,None,0.369,0.655,0.923,0.464
OPENJPA,10,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.928,0.000
OPENJPA,10,NaiveBayes,None,None,SensitiveLearning,0.078,0.370,0.862,0.113
OPENJPA,10,IBk,None,None,SensitiveLearning,0.800,0.360,0.910,0.493
OPENJPA,11,RandomForest,None,None,None,0.880,0.512,0.936,0.644
OPENJPA,11,NaiveBayes,None,None,None,0.077,0.386,0.843,0.112
OPENJPA,11,IBk,None,None,None,0.759,0.512,0.914,0.608
OPENJPA,11,RandomForest,BestFirst,None,None,0.824,0.130,0.847,0.223
OPENJPA,11,NaiveBayes,BestFirst,None,None,0.098,0.274,0.781,0.129
OPENJPA,11,IBk,BestFirst,None,None,0.813,0.121,0.768,0.208
OPENJPA,11,RandomForest,None,SMOTE,None,0.556,0.628,0.922,0.585
OPENJPA,11,NaiveBayes,None,SMOTE,None,0.061,0.493,0.854,0.090
OPENJPA,11,IBk,None,SMOTE,None,0.418,0.679,0.921,0.511
OPENJPA,11,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.916,0.000
OPENJPA,11,NaiveBayes,None,None,SensitiveLearning,0.080,0.353,0.843,0.114
OPENJPA,11,IBk,None,None,SensitiveLearning,0.798,0.423,0.914,0.550
OPENJPA,12,RandomForest,None,None,None,0.753,0.320,0.875,0.446
OPENJPA,12,NaiveBayes,None,None,None,0.063,0.350,0.826,0.091
OPENJPA,12,IBk,None,None,None,0.571,0.320,0.782,0.406
OPENJPA,12,RandomForest,BestFirst,None,None,0.696,0.080,0.764,0.142
OPENJPA,12,NaiveBayes,BestFirst,None,None,0.082,0.265,0.798,0.112
OPENJPA,12,IBk,BestFirst,None,None,0.556,0.075,0.689,0.130
OPENJPA,12,RandomForest,None,SMOTE,None,0.420,0.470,0.836,0.437
OPENJPA,12,NaiveBayes,None,SMOTE,None,0.051,0.460,0.835,0.076
OPENJPA,12,IBk,None,SMOTE,None,0.315,0.525,0.798,0.386
OPENJPA,12,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.810,0.000
OPENJPA,12,NaiveBayes,None,None,SensitiveLearning,0.064,0.315,0.826,0.091
OPENJPA,12,IBk,None,None,SensitiveLearning,0.560,0.280,0.782,0.369
