ID,Size,Predicted,Actual
118,0,0.000000,NO
119,0,0.000000,NO
120,0,0.000000,NO
121,0,0.000000,NO
122,0,0.000000,NO
123,0,0.000000,NO
124,0,0.000000,NO
125,0,0.000000,NO
126,0,0.000000,NO
127,0,0.000000,NO
128,0,0.000000,NO
129,0,0.000000,NO
130,0,0.000000,NO
131,0,0.000000,NO
132,0,0.000000,NO
133,0,0.000000,NO
134,0,0.000000,NO
135,0,0.000000,NO
136,0,0.000000,NO
137,0,0.000000,NO
138,0,0.000000,NO
139,0,0.000000,NO
140,0,0.000000,NO
141,0,0.000000,NO
142,0,0.000000,NO
143,0,0.000000,NO
144,0,0.000000,NO
145,0,0.000000,NO
146,0,0.000000,NO
147,0,0.000000,NO
148,0,0.000000,NO
149,0,0.000000,NO
150,0,0.000000,NO
151,0,0.000000,NO
152,0,0.000000,NO
153,0,0.000000,NO
154,0,0.000000,NO
155,0,0.000000,NO
156,0,0.000000,NO
157,0,0.000000,NO
158,0,0.000000,NO
159,0,0.000000,NO
160,1,0.000018,NO
161,1,0.022667,NO
162,1,0.000018,NO
163,1,0.022667,NO
164,1,0.000018,NO
165,1,0.022667,NO
166,1,0.000018,NO
167,1,0.022667,NO
168,1,0.000018,NO
169,1,0.022667,NO
170,1,0.000018,NO
171,1,0.022667,NO
172,1,0.000018,NO
173,1,0.022667,NO
174,1,0.000018,NO
175,1,0.022667,NO
176,1,0.000018,NO
177,1,0.022667,NO
178,1,0.000018,NO
179,1,0.022667,NO
180,1,0.000018,NO
181,1,0.022667,NO
182,1,0.000018,NO
183,1,0.022667,NO
184,1,0.000018,NO
185,1,0.022667,NO
186,1,0.000018,NO
187,1,0.022667,NO
188,1,0.000018,NO
189,1,0.022667,NO
190,1,0.000018,NO
191,1,0.022667,NO
192,1,0.000018,NO
193,1,0.022667,NO
194,1,0.000018,NO
195,3,0.100000,NO
196,1,0.000018,NO
197,1,0.022667,NO
198,1,0.000018,NO
199,3,0.100000,NO
200,1,0.000018,NO
201,1,0.022667,NO
202,3,0.000018,NO
203,17,0.999998,NO
204,1,0.000018,NO
205,1,0.022667,NO
206,1,0.000018,NO
207,3,0.100000,NO
208,1,0.000018,NO
209,1,0.022667,NO
210,1,0.022667,NO
211,1,0.000018,NO
212,1,0.022667,NO
213,1,0.000018,NO
214,3,0.100000,NO
215,1,0.000018,NO
216,1,0.022667,NO
217,1,0.000018,NO
218,3,0.100000,NO
219,1,0.022667,NO
220,1,0.000018,NO
221,1,0.022667,NO
222,1,0.000018,NO
223,1,0.022667,NO
224,1,0.000018,NO
225,3,0.100000,NO
226,1,0.022667,NO
227,1,0.000000,NO
228,5,0.000004,NO
229,4,0.000001,NO
230,7,0.000018,NO
231,12,0.000018,NO
232,11,0.000018,NO
233,7,0.000018,NO
234,7,0.000002,NO
235,1,0.010178,NO
236,13,0.000009,NO
237,12,0.000006,NO
238,7,0.000002,NO
239,6,0.000018,NO
240,1,0.010178,NO
241,1,0.022667,NO
242,4,0.000018,NO
243,1,0.010010,NO
244,1,0.010010,NO
245,1,0.044444,NO
246,42,0.000018,NO
247,11,0.000009,NO
248,0,0.000000,NO
249,1,0.010178,NO
250,0,0.000000,NO
251,1,0.022667,NO
252,1,0.010178,NO
253,3,0.454546,NO
254,1,0.022667,NO
255,0,0.000000,NO
256,0,0.000000,NO
257,1,0.022667,NO
258,1,0.010178,NO
259,1,0.022667,NO
260,2,0.056497,NO
261,2,0.056497,NO
262,1,0.010178,NO
263,10,0.999998,YES
264,9,0.000018,NO
265,9,0.000018,NO
266,0,0.000000,NO
267,0,0.000000,NO
268,0,0.000000,NO
269,0,0.000000,NO
270,1,0.010010,NO
271,0,0.000000,NO
272,1,0.010178,NO
273,17,0.000018,NO
274,27,0.000018,NO
275,1,0.022667,NO
276,2,0.056497,NO
277,0,0.000000,NO
278,0,0.000000,NO
279,8,0.000018,NO
280,19,0.000018,NO
281,0,0.000000,NO
282,0,0.000000,NO
283,0,0.000000,NO
284,18,0.000018,NO
285,4,0.000000,NO
286,21,0.000018,NO
287,4,0.000003,NO
288,19,0.000018,NO
289,4,0.000003,NO
290,15,0.000018,NO
291,10,0.000018,NO
292,4,0.000003,NO
293,10,0.000009,NO
294,1,0.022667,NO
295,1,0.010178,NO
296,1,0.010178,NO
297,1,0.022667,NO
298,1,0.010178,NO
299,8,0.000018,NO
300,6,0.000004,NO
301,3,0.000001,NO
302,7,0.000004,NO
303,8,0.000001,NO
304,5,0.000001,NO
305,49,0.000018,NO
306,1,0.022667,NO
307,1,0.010010,NO
308,1,0.022667,NO
309,28,0.000018,NO
310,36,0.000018,NO
311,11,0.000018,NO
312,24,0.000018,NO
313,3,0.000000,NO
314,10,0.909090,NO
315,14,0.000018,NO
316,12,0.000018,NO
317,19,0.000018,NO
318,13,0.000009,NO
319,5,0.000004,NO
320,18,0.000018,NO
321,1,0.010010,NO
322,7,0.000004,NO
323,1,0.022667,NO
324,4,0.000000,NO
325,5,0.000001,NO
326,4,0.000000,NO
327,4,0.000000,NO
328,5,0.000001,NO
329,4,0.000000,NO
330,5,0.000001,NO
331,4,0.000000,NO
332,5,0.000001,NO
333,4,0.000000,NO
334,5,0.000001,NO
335,4,0.000000,NO
336,5,0.000001,NO
337,4,0.000000,NO
338,4,0.000000,NO
339,5,0.000001,NO
340,5,0.000001,NO
341,5,0.000001,NO
342,5,0.000001,NO
343,5,0.000004,NO
344,4,0.000000,NO
345,5,0.000001,NO
346,4,0.000000,NO
347,4,0.000000,NO
348,0,0.000000,NO
349,1,0.000000,NO
350,1,0.022667,NO
351,1,0.010178,NO
352,3,0.000001,NO
353,1,0.022667,NO
354,1,0.022667,NO
355,3,0.000000,NO
356,5,0.000018,NO
357,3,0.000000,NO
358,6,0.000001,NO
359,6,0.000001,NO
360,8,0.000018,NO
361,1,0.022667,NO
362,9,0.000018,NO
363,19,0.000018,NO
364,0,0.000000,NO
365,0,0.000000,NO
366,0,0.000000,NO
367,0,0.000000,NO
368,0,0.000000,NO
369,0,0.000000,NO
370,0,0.000000,NO
371,0,0.000000,NO
372,0,0.000000,NO
373,0,0.000000,NO
374,0,0.000000,NO
375,0,0.000000,NO
376,0,0.000000,NO
377,0,0.000000,NO
378,0,0.000000,NO
379,0,0.000000,NO
380,0,0.000000,NO
381,0,0.000000,NO
382,0,0.000000,NO
383,0,0.000000,NO
384,0,0.000000,NO
385,0,0.000000,NO
386,0,0.000000,NO
387,2,0.000001,NO
388,10,0.000018,NO
389,9,0.000018,NO
390,1,0.000000,NO
391,7,0.000009,NO
392,1,0.000000,NO
393,6,0.000018,NO
394,7,0.000009,NO
395,1,0.000000,NO
396,7,0.000004,NO
397,1,0.000000,NO
398,7,0.000004,NO
399,1,0.000000,NO
400,7,0.000004,NO
401,1,0.000000,NO
402,7,0.000004,NO
403,13,0.000018,NO
404,1,0.000018,NO
405,1,0.000006,NO
406,10,0.952380,NO
407,4,0.000018,NO
408,7,0.666666,NO
409,7,0.666666,NO
410,7,0.000006,NO
411,1,0.022667,NO
412,7,0.000018,NO
413,1,0.010178,NO
414,7,0.000018,NO
415,0,0.000000,NO
416,0,0.000000,NO
417,0,0.000000,NO
418,0,0.000000,NO
419,0,0.000000,NO
420,0,0.000000,NO
421,0,0.000000,NO
422,0,0.000000,NO
423,0,0.000000,NO
424,0,0.000000,NO
425,0,0.000000,NO
426,0,0.000000,NO
427,0,0.000000,NO
428,1,0.022667,NO
429,13,0.952380,NO
430,1,0.022667,NO
431,1,0.022667,NO
432,1,0.022667,NO
433,1,0.022667,NO
434,1,0.022667,NO
435,0,0.000000,NO
436,0,0.000000,NO
437,7,0.000003,NO
438,10,0.000018,NO
439,9,0.000003,NO
440,2,0.000000,NO
441,2,0.312500,NO
442,1,0.022667,NO
443,2,0.000000,NO
444,2,0.000000,NO
445,7,0.000009,NO
446,5,0.909090,NO
