Release,LOC,#Parameters,#Authors,#Revisions,StmtAdded,StmtDeleted,MaxChurn,AvgChurn,#Branches,NestingDepth,NFix,NSmells,Buggy
1,23,4,1,1,23,0,23,23,11,3,0,0,no
1,21,1,1,1,21,0,21,21,9,1,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,19,3,1,1,19,0,19,19,10,1,0,0,no
1,14,1,1,1,14,0,14,14,8,2,0,0,no
1,34,1,1,1,34,0,34,34,20,1,0,0,no
1,34,1,1,1,34,0,34,34,20,1,0,0,no
1,10,2,1,1,10,0,10,10,3,2,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,5,9,1,1,5,0,5,5,2,2,0,0,no
1,27,1,1,1,27,0,27,27,15,3,0,0,no
1,19,4,1,2,19,0,19,9.5,8,2,0,0,no
1,32,5,1,1,32,0,32,32,12,3,0,0,no
1,89,8,1,2,89,0,89,44.5,41,4,0,0,no
1,13,5,1,1,13,0,13,13,9,2,0,0,no
1,47,5,1,1,47,0,47,47,19,3,0,0,no
1,55,5,1,1,55,0,55,55,27,3,0,0,yes
1,107,9,1,1,107,0,107,107,47,5,0,0,no
1,28,9,1,1,28,0,28,28,6,3,0,0,no
1,135,12,1,1,135,0,135,135,65,7,0,0,no
1,38,4,1,1,38,0,38,38,8,1,0,0,no
1,47,8,1,1,47,0,47,47,30,5,0,0,no
1,12,1,1,1,12,0,12,12,8,1,0,0,no
1,22,2,1,1,22,0,22,22,10,2,0,0,no
1,44,3,1,1,44,0,44,44,25,4,0,0,no
1,56,3,2,2,56,0,41,28,34,3,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,52,2,1,1,52,0,52,52,37,2,0,0,no
1,22,2,1,1,22,0,22,22,11,1,0,0,no
1,18,2,1,1,18,0,18,18,9,1,0,0,no
1,16,2,1,1,16,0,16,16,11,1,0,0,no
1,51,0,1,1,51,0,51,51,20,3,0,0,no
1,21,2,1,1,21,0,21,21,9,3,0,0,no
1,13,1,1,1,13,0,13,13,6,5,0,0,no
1,20,1,1,1,20,0,20,20,6,2,0,0,no
1,60,4,3,4,62,2,60,16,16,3,0,0,no
1,0,7,1,1,0,0,0,0,0,0,0,0,no
1,0,7,1,1,0,0,0,0,0,0,0,0,no
1,0,9,1,1,0,0,0,0,0,0,0,0,no
1,18,2,1,1,18,0,18,18,9,1,0,0,no
1,16,2,1,1,16,0,16,16,8,2,0,0,no
1,16,4,1,1,16,0,16,16,9,2,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,42,2,1,2,43,1,43,22,11,3,0,0,yes
1,71,0,1,1,71,0,71,71,35,4,0,0,no
1,8,2,1,1,8,0,8,8,3,1,0,0,no
1,18,1,1,1,18,0,18,18,13,1,0,0,no
1,15,2,1,1,15,0,15,15,10,4,0,0,no
1,26,1,1,1,26,0,26,26,8,5,0,0,no
1,34,1,1,1,34,0,34,34,9,2,0,0,no
1,12,4,1,1,12,0,12,12,9,2,0,0,no
1,36,4,1,1,36,0,36,36,10,2,0,0,no
1,25,4,1,1,25,0,25,25,9,4,0,0,no
1,19,1,1,1,19,0,19,19,9,2,0,0,no
1,15,1,1,1,15,0,15,15,10,2,0,0,no
1,10,2,1,1,10,0,10,10,5,2,0,0,no
1,55,2,1,1,55,0,55,55,25,4,0,0,no
1,59,3,1,1,59,0,59,59,13,5,0,0,no
1,39,4,1,1,39,0,39,39,2,2,0,0,no
1,10,1,1,1,10,0,10,10,8,4,0,0,no
1,20,1,1,1,20,0,20,20,10,3,0,0,no
1,26,1,1,1,26,0,26,26,8,4,0,0,no
1,14,0,1,1,14,0,14,14,9,2,0,0,no
1,15,0,1,1,15,0,15,15,9,2,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,25,4,1,1,25,0,25,25,13,2,0,0,no
1,23,1,1,1,23,0,23,23,9,2,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,35,1,1,2,35,0,35,17.5,10,4,0,0,no
1,12,2,1,1,12,0,12,12,8,2,0,0,no
1,14,3,1,1,14,0,14,14,8,2,0,0,no
1,32,3,1,1,32,0,32,32,10,4,0,0,no
1,4,6,2,2,20,16,20,18,0,0,0,0,no
1,18,6,1,1,18,0,18,18,6,2,0,0,no
1,24,4,1,1,24,0,24,24,10,2,0,0,no
1,29,4,1,1,29,0,29,29,7,5,0,0,no
1,26,4,1,1,26,0,26,26,9,3,0,0,no
1,23,6,1,1,23,0,23,23,8,4,0,0,no
1,21,6,1,1,21,0,21,21,6,3,0,0,no
