Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
openjpa_IBk_SMOTE_wf_iter8.csv,0,0.5207373271889401,0.6243093922651933,0.5678391959798995,0.5709208119379137,0.9344564527016586,0.766851849645608,0.5650747737244894,0.7348066298342542,0.7569060773480663,0.7734806629834254,0.8232044198895028,0.8342541436464088,0.8453038674033149,0.861878453038674,0.8784530386740331,0.8895027624309392,0.9060773480662984,0.9281767955801105,0.9392265193370166,0.9502762430939227,0.9613259668508287,0.9779005524861878,0.9834254143646409,0.9834254143646409,1.0,1.0,0.8990985751671999,0.7348066298342542,0.7569060773480663,0.7734806629834254,0.8232044198895028,0.8342541436464088,0.8453038674033149,0.861878453038674,0.8784530386740331,0.8895027624309392,0.9060773480662984,0.9281767955801105,0.9392265193370166,0.9502762430939227,0.9613259668508287,0.9779005524861878,0.9834254143646409,0.9834254143646409,1.0,1.0,0.8961907531259087,0.7348066298342542,0.7569060773480663,0.7734806629834254,0.8232044198895028,0.8342541436464088,0.8453038674033149,0.861878453038674,0.8784530386740331,0.8895027624309392,0.9060773480662984,0.9281767955801105,0.9392265193370166,0.9502762430939227,0.9613259668508287,0.9779005524861878,0.9834254143646409,0.9834254143646409,1.0,1,0.8961907531259087,
openjpa_NaiveBayes_SMOTE_wf_iter9.csv,34,0.05666857469948483,0.5380434782608695,0.10253754531330916,0.05343329109416651,0.9123332810488768,0.6750392396994307,0.15089882453136882,0.266304347826087,0.32065217391304346,0.3423913043478261,0.3641304347826087,0.3858695652173913,0.45108695652173914,0.47282608695652173,0.5489130434782609,0.5869565217391305,0.6032608695652174,0.6413043478260869,0.6521739130434783,0.6902173913043478,0.8532608695652174,0.8858695652173914,0.9184782608695652,0.9347826086956522,0.9619565217391305,1.0,0.5883867276887871,0.266304347826087,0.32065217391304346,0.3423913043478261,0.3641304347826087,0.3858695652173913,0.45108695652173914,0.47282608695652173,0.5489130434782609,0.5869565217391305,0.6032608695652174,0.6413043478260869,0.6521739130434783,0.6902173913043478,0.8532608695652174,0.8858695652173914,0.9184782608695652,0.9347826086956522,0.9619565217391305,1.0,0.6252860411899314,0.2663043478260869,0.32065217391304346,0.34239130434782616,0.36413043478260865,0.38586956521739135,0.45108695652173914,0.47282608695652173,0.5489130434782609,0.5869565217391305,0.6032608695652174,0.6413043478260869,0.6521739130434783,0.6902173913043478,0.8532608695652174,0.8858695652173914,0.9184782608695652,0.9347826086956522,0.9619565217391305,1,0.6252860411899314,
openjpa_NaiveBayes_fs_wf_iter12.csv,2,0.06329113924050633,0.35,0.10719754977029096,0.06209942481030927,0.9272426657192167,0.5111631855471271,0.12948663376168704,0.205,0.235,0.285,0.305,0.35,0.38,0.41,0.46,0.515,0.57,0.62,0.65,0.805,0.855,0.88,0.92,0.945,0.975,1.0,0.5660526315789474,0.205,0.235,0.285,0.305,0.35,0.38,0.41,0.46,0.515,0.57,0.62,0.65,0.805,0.855,0.88,0.92,0.945,0.975,1.0,0.5981578947368421,0.20499999999999996,0.235,0.2849999999999999,0.30499999999999994,0.35,0.38,0.4099999999999999,0.45999999999999996,0.515,0.57,0.62,0.65,0.805,0.855,0.88,0.92,0.945,0.975,1,0.5981578947368421,
openjpa_RandomForest_fs_wf_iter1.csv,0,0.7,0.04929577464788732,0.09210526315789473,0.4482777340636739,0.950908572283635,0.09395885205084523,0.18420454751022539,0.24647887323943662,0.352112676056338,0.39436619718309857,0.4647887323943662,0.528169014084507,0.5492957746478874,0.5633802816901409,0.5774647887323944,0.6338028169014085,0.676056338028169,0.7253521126760564,0.7535211267605634,0.823943661971831,0.852112676056338,0.8732394366197183,0.9154929577464789,0.9577464788732394,0.9788732394366197,1.0,0.6950580677044724,0.24647887323943662,0.352112676056338,0.39436619718309857,0.4647887323943662,0.528169014084507,0.5492957746478874,0.5633802816901409,0.5774647887323944,0.6338028169014085,0.676056338028169,0.7253521126760564,0.7535211267605634,0.823943661971831,0.852112676056338,0.8732394366197183,0.9154929577464789,0.9577464788732394,0.9788732394366197,1.0,0.6765258215962442,0.24647887323943662,0.352112676056338,0.3943661971830985,0.46478873239436624,0.528169014084507,0.5492957746478874,0.5633802816901409,0.5774647887323944,0.6338028169014085,0.676056338028169,0.7253521126760564,0.7535211267605634,0.823943661971831,0.852112676056338,0.8732394366197183,0.9154929577464789,0.9577464788732394,0.9666666666666667,1,0.6771682727946627,
openjpa_RandomForest_fs_wf_iter3.csv,0,0.5277777777777778,0.08597285067873303,0.14785992217898833,0.4106305784973921,0.9303333387118705,0.1583197506216796,0.2091028432144992,0.20361990950226244,0.31221719457013575,0.4072398190045249,0.4434389140271493,0.5113122171945701,0.5610859728506787,0.5972850678733032,0.6244343891402715,0.6742081447963801,0.6923076923076923,0.7330316742081447,0.7782805429864253,0.832579185520362,0.8914027149321267,0.9321266968325792,0.9457013574660633,0.9773755656108597,0.9909502262443439,1.0,0.6863792966579344,0.20361990950226244,0.31221719457013575,0.4072398190045249,0.4434389140271493,0.5113122171945701,0.5610859728506787,0.5972850678733032,0.6244343891402715,0.6742081447963801,0.6923076923076923,0.7330316742081447,0.7782805429864253,0.832579185520362,0.8914027149321267,0.9321266968325792,0.9457013574660633,0.9773755656108597,0.9909502262443439,1.0,0.688998968008256,0.2036199095022624,0.31221719457013575,0.4072398190045249,0.4434389140271493,0.5113122171945701,0.5610859728506787,0.5972850678733032,0.6244343891402715,0.6742081447963801,0.6923076923076923,0.7330316742081447,0.7782805429864253,0.832579185520362,0.8914027149321267,0.9321266968325792,0.9457013574660633,0.9773755656108597,0.9733333333333334,1,0.6899261728983092,
openjpa_NaiveBayes_fs_wf_iter10.csv,14,0.08603351955307263,0.385,0.14063926940639268,0.0802534988966027,0.9311388686846082,0.5486418947443622,0.16357372455929425,0.21,0.27,0.33,0.38,0.435,0.47,0.52,0.53,0.575,0.63,0.66,0.67,0.825,0.845,0.9,0.92,0.95,0.985,1.0,0.6205263157894736,0.21,0.27,0.33,0.38,0.435,0.47,0.52,0.53,0.575,0.63,0.66,0.67,0.825,0.845,0.9,0.92,0.95,0.985,1.0,0.6371052631578946,0.20999999999999996,0.27,0.33000000000000007,0.38,0.43500000000000005,0.47,0.52,0.53,0.575,0.63,0.66,0.67,0.825,0.845,0.9,0.92,0.95,0.985,1,0.6371052631578946,
openjpa_RandomForest_SMOTE_wf_iter2.csv,1,0.550561797752809,0.3798449612403101,0.44954128440366975,0.44054454365502843,0.9034145441122184,0.5501600774328046,0.4535207972883953,0.5426356589147286,0.6356589147286822,0.6821705426356589,0.7131782945736435,0.7286821705426356,0.7441860465116279,0.7674418604651163,0.8217054263565892,0.8217054263565892,0.8294573643410853,0.8372093023255814,0.8449612403100775,0.8527131782945736,0.8837209302325582,0.9302325581395349,0.9457364341085271,0.9689922480620154,1.0,1.0,0.8049775601795184,0.5426356589147286,0.6356589147286822,0.6821705426356589,0.7131782945736435,0.7286821705426356,0.7441860465116279,0.7674418604651163,0.8217054263565892,0.8217054263565892,0.8294573643410853,0.8372093023255814,0.8449612403100775,0.8527131782945736,0.8837209302325582,0.9302325581395349,0.9457364341085271,0.9689922480620154,1.0,1.0,0.8184414524683801,0.5426356589147286,0.6356589147286822,0.6821705426356589,0.7131782945736435,0.7286821705426356,0.7441860465116279,0.7674418604651163,0.8217054263565892,0.8217054263565892,0.8294573643410853,0.8372093023255814,0.8449612403100775,0.8527131782945736,0.8837209302325582,0.9302325581395349,0.9457364341085271,0.9689922480620154,1.0,1,0.8184414524683801,
openjpa_IBk_wf_iter6.csv,0,0.8253968253968254,0.5652173913043478,0.6709677419354839,0.6641769756936118,0.9884222429990943,0.7218714014450267,0.6802008695806796,0.73224043715847,0.7759562841530054,0.7978142076502732,0.8032786885245902,0.8360655737704918,0.8743169398907104,0.8852459016393442,0.8907103825136612,0.9016393442622951,0.9016393442622951,0.912568306010929,0.9398907103825137,0.9508196721311475,0.9672131147540983,0.9672131147540983,0.9781420765027322,0.9781420765027322,1.0,1.0,0.8832326718435434,0.73224043715847,0.7759562841530054,0.7978142076502732,0.8032786885245902,0.8360655737704918,0.8743169398907104,0.8852459016393442,0.8907103825136612,0.9016393442622951,0.9016393442622951,0.912568306010929,0.9398907103825137,0.9508196721311475,0.9672131147540983,0.9672131147540983,0.9781420765027322,0.9781420765027322,1.0,1.0,0.8996261144664941,0.73224043715847,0.7759562841530054,0.7978142076502732,0.8032786885245902,0.8360655737704918,0.8743169398907104,0.8852459016393442,0.8907103825136612,0.9016393442622951,0.9016393442622951,0.912568306010929,0.9398907103825137,0.9508196721311475,0.9672131147540983,0.9672131147540983,0.9781420765027322,0.9781420765027322,1.0,1,0.8996261144664941,
openjpa_IBk_wf_iter12.csv,1,0.5466666666666666,0.41,0.4685714285714286,0.430996775717021,0.9892054106182113,0.5809751939785983,0.46884731045994243,0.605,0.63,0.71,0.73,0.76,0.785,0.81,0.83,0.87,0.875,0.88,0.885,0.915,0.92,0.925,0.945,0.97,0.995,1.0,0.8431578947368421,0.605,0.63,0.71,0.73,0.76,0.785,0.81,0.83,0.87,0.875,0.88,0.885,0.915,0.92,0.925,0.945,0.97,0.995,1.0,0.8442105263157894,0.605,0.63,0.71,0.73,0.76,0.785,0.81,0.83,0.87,0.875,0.88,0.885,0.915,0.92,0.925,0.945,0.97,0.995,1,0.8442105263157894,
openjpa_IBk_wf_iter7.csv,0,0.7753623188405797,0.6369047619047619,0.6993464052287581,0.6359558293163532,0.9917716559165711,0.7776153575550384,0.7000372338936449,0.7857142857142857,0.7976190476190477,0.8273809523809523,0.8452380952380952,0.8511904761904762,0.8690476190476191,0.8869047619047619,0.8988095238095238,0.9166666666666666,0.9345238095238095,0.9523809523809523,0.9523809523809523,0.9702380952380952,0.9821428571428571,0.9821428571428571,0.9940476190476191,0.9940476190476191,1.0,1.0,0.9176065162907269,0.7857142857142857,0.7976190476190477,0.8273809523809523,0.8452380952380952,0.8511904761904762,0.8690476190476191,0.8869047619047619,0.8988095238095238,0.9166666666666666,0.9345238095238095,0.9523809523809523,0.9523809523809523,0.9702380952380952,0.9821428571428571,0.9821428571428571,0.9940476190476191,0.9940476190476191,1.0,1.0,0.9179197994987468,0.7857142857142857,0.7976190476190477,0.8273809523809523,0.8452380952380952,0.8511904761904762,0.8690476190476191,0.8869047619047619,0.8988095238095238,0.9166666666666666,0.9345238095238095,0.9523809523809523,0.9523809523809523,0.9702380952380952,0.9821428571428571,0.9821428571428571,0.9940476190476191,0.9940476190476191,1.0,1,0.9179197994987468,
